KodProduktu;Prognoza_M1;Prognoza_M2;Prognoza_M3
'1153.09;0,24;2,42;2,62
'1153.10;0;0;0
'1154.01;0;0;0
'1158;0;0,81;0,81
'1159;24,06;22,58;19,41
'1159 L;0;0;0
'1159 P;0;0;0
'1159.02;0;0;0
'1160.03;0;0;0
'1160.07;39,39;34,45;32,93
'1161;0,01;0,12;0,12
'1162;0;0;0
'1162.02;0;0;0
'1163.01;0;0;0
'1164;3,77;0;13,65
'1164.01;0;0;0
'1165;0,7;0,7;1,96
'1165.00;0;0;0
'1165.00.08;0;0;0
'1165.01;0;0;0
'1165.07;0,5;0,5;0,5
'1165.08;0;0;0
'1165.09;1,21;1,03;0,7
'1165.14;0;0;0
'1166;0;0;0
'1167;0,01;0,12;0,12
'1167.01;0;0;0
'1169;0;0;0
'1171;0;0;0
'1171.00;0;0;0
'1172;0,01;0,12;0,12
'1172.03;0;0;0
'1173;0,01;0,12;0,12
'1176.00;0;0;0
'1178;0,9;0,01;0,25
'1179;0;0;0
'1179.01;0;0;0
'1181;34,13;35,17;49,67
'1181.01;4,43;34,1;59,0
'1181.02;0;0;0
'1181.03;0;0;0
'1182;0;0;0
'1182.02;0;0;0
'1182.07;0;0;0
'1183;0;0;0
'1183.01;0;0;0
'1183.02;0;0;0
'1184;0;0;0
'1184.00;0;0;0
'1184.00.04;0;0;0
'1184.04;0;0;0
'1184.05;0;0;0
'1185;0,75;2,19;0,09
'1185.00;0;0;0
'1186;4,1;7,25;11,98
'1186.02;0;0;0
'1193.01;0;0;0
'1193.02;0;0,01;0,12
'1193.03;0,8;3,15;1,59
'1194;0,01;0,13;0,06
'1194.01;0;0;0
'1195.01;0;0;0
'1195.05;0;0;0
'1196.00.01;0;0;0
'1200.00;0;0;0
'1201;0;0;0
'1201.02;0;0;0
'1201.03;0;0;0
'1201.04;0;0;0
'1201.05;0;0;0
'1202;0;0;0
'1203;0;0;0
'1203.01;0;0;0
'1204;4,8;23,64;43,57
'1204.00.02;0;0;0
'1204.01;0;0;0
'1204.02;0,01;0,12;0,12
'1204.03;35,82;35,81;49,09
'1204.04;0,59;1,86;2,44
'1204.06;0;0;0
'1204.08;0;0;0
'1205;0;0;0
'1205.01;0;0;0
'1207;0,76;0,7;1,65
'1208.00.01;0;0;0
'1208.01;0;0;0
'1211;0;0;0
'1214;0;0;0
'1217;0;0;0
'1218;0;0;0
'1219;26,37;35,14;33,3
'1226;0;0;0,01
'1227;2,13;4,09;4,6
'1227.00;0;0;0
'1229;0;0;0
'1230;0;0;0
'1231;0;0;0
'1231.00;0;0;0
'1231.01;0;0;0
'1233;0;0;0
'1238;0;0;0
'1239;4,91;1,01;1,65
'1240;0,01;0,12;0,12
'1241;0;0;0
'1244;4,4;4,47;11,09
'1244.01;3,12;4,22;1,96
'1244.02;0,01;0,12;0,12
'1248;0;0;0
'1249;223,85;256,83;284,03
'1250;0;0;0
'1253;0;0;0
'1257.01;0;0;0
'1257.02;0;0;0
'2007;125,41;197,52;112,58
'2008;347,18;495,73;520,24
'2008.05;0;0;0
'2009;397,35;463,07;388,97
'2009.03;0;0;0
'2009.04;21,19;19,93;7,81
'2023.02;0,01;0,12;0,12
'2024;0;0;0
